country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Montenegro,5.42845556988889,1.168559901222222,1.1211482666666666,0.6874481743333334,0.3008803225555556,0.156025706,0.09297547833333332,5.4284555698888886,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Morocco,5.09297779211111,0.8920118545555555,0.5608858792222223,0.6064508434444443,0.4353980523333333,0.034832500666666676,0.08440542077777777,5.09297779211111,5.444338486093167,5.268499088774629,5.444338486093167,Moderately happy
Mozambique,4.727950024625001,0.27864087699999995,0.864895486625,0.18402350912499998,0.5291170540000001,0.217792526,0.16869133775,4.7279500246250015,5.452107707682838,4.318745251832432,5.452107707682838,Not happy
Myanmar,4.379444462666666,0.6428223866666667,0.9613638008888888,0.42880284944444447,0.5175623224444444,0.6177198765555555,0.18723517322222222,4.379444462666666,5.444338486093167,5.37134784239352,5.444338486093167,Not happy
Namibia,4.5578875146249995,0.9941732895,1.0557286195,0.33699162262500004,0.443630315,0.07244227849999998,0.07155591437499999,4.557887514625,5.452914024702913,4.3104478834113795,5.452914024702913,Not happy
Nepal,5.0227999746666665,0.5647889515555556,0.9787280633333333,0.5260533523333333,0.46809491144444443,0.30284755244444445,0.09618094544444444,5.022799974666667,5.444338486093167,4.463861366407407,5.444338486093167,Moderately happy
Netherlands,7.417100008666667,1.531334553,1.3316527953333335,0.8281690521111111,0.6146534408888888,0.3595630443333333,0.3398490652222222,7.417100008666667,5.444338486093167,6.811899206957673,5.444338486093167,Happy
New Zealand,7.273844472666667,1.4359848847777779,1.3954292782222222,0.835136445,0.6391891153333333,0.36008348188888895,0.4289272197777778,7.273844472666669,5.444338486093167,7.176058332472222,5.444338486093167,Happy
Nicaragua,6.0744555909999995,0.7681580387777777,1.1626753844444444,0.6658288017777778,0.5355821278888889,0.2239361882222222,0.16909583955555554,6.074455591000001,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Niger,4.445622184333334,0.22603951811111112,0.7006416830000001,0.2603345955555556,0.4434778123333334,0.19138008244444443,0.1385864123333333,4.445622184333334,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
